name,number_of_episodes,original_language,vote_count,vote_average,vote_Avg_Category
Fairy Tail,328,ja,866,7.9,2
The A-Team,98,en,865,7.472,2
ThunderCats,130,en,862,8.2,3
The House of Flowers,33,es,862,7.8,2
Kung Fu Panda: The Paws of Destiny,26,en,861,7.2,2
Fighting Spirit,126,ja,860,8.639,3
The Night Manager,6,en,860,7.8,2
Kingdom,12,ko,860,8.292,3
Atrévete a soñar,262,es,858,8.09,3
Cursed,10,en,858,7.274,2
The Leftovers,28,en,857,7.6,2
Downton Abbey,47,en,855,8.1,3
Mums Make Porn,3,en,853,6.4,2
Sailor Moon,200,ja,853,8.353,3
The Last Ship,56,en,853,6.784,2
The Fairly OddParents,268,en,852,7.583,2
V,2,en,851,7.736,2
The Boarding School: Las Cumbres,22,es,850,7.532,2
Gilmore Girls,153,en,848,7.929,2
Keeping Up with the Kardashians,282,en,845,7.5,2
The Shannara Chronicles,20,en,844,7.0,2
Star Wars: Andor,12,en,843,8.2,3
MacGyver,94,en,840,7.323,2
Dickinson,30,en,834,8.574,3
Rubi,26,es,833,7.438,2
Succession,39,en,833,8.244,3
Yu-Gi-Oh! Duel Monsters,224,ja,830,8.248,3
Angel,110,en,828,7.953,2
Severance,9,en,825,8.396,3
Designated Survivor,53,en,821,7.182,2
Marvel's Runaways,33,en,818,7.468,2
Dynasty,108,en,816,8.151,3
Six Feet Under,63,en,816,8.115,3
She Was Pretty,16,ko,814,8.248,3
Merlin,65,en,814,7.813,2
Little House on the Prairie,204,en,813,7.9,2
The Powerpuff Girls,136,en,812,7.542,2
Rent-a-Girlfriend,36,ja,811,8.51,3
W: Two Worlds Apart,16,ko,808,8.498,3
Star Wars: The Bad Batch,32,en,808,8.285,3
Bob's Burgers,269,en,807,7.9,2
Redo of Healer,12,ja,806,8.468,3
Hey Arnold!,186,en,801,8.041,3
Invasion,20,en,800,7.29,2
Banana Fish,24,ja,797,8.6,3
Black Lightning,58,en,797,7.091,2
Van Helsing,65,en,796,7.076,2
War of the Worlds,24,en,796,7.339,2
Reacher,8,en,795,8.034,3
Star Trek: Voyager,171,en,792,7.87,2
My Holo Love,12,ko,791,8.546,3
Merlí. Sapere Aude,16,ca,790,8.3,3
The Flintstones,166,en,789,7.363,2
The Peripheral,8,en,789,7.918,2
Kamisama Kiss,25,ja,788,8.633,3
The King: Eternal Monarch,16,ko,786,8.424,3
Girl from Nowhere,21,th,785,8.526,3
Terminator: The Sarah Connor Chronicles,31,en,783,7.558,2
A Family of Ten,148,es,781,8.047,3
Slam Dunk,101,ja,781,8.643,3
The Twilight Zone,156,en,780,8.472,3
xxxHOLiC,37,ja,780,7.231,2
The Americans,75,en,778,7.9,2
Jane the Virgin,100,en,777,8.0,2
I Am Not an Animal,6,en,776,8.64,3
Vincenzo,20,ko,775,8.585,3
Tales from the Crypt,93,en,775,7.961,2
Hellbound,6,ko,775,7.465,2
Overlord,52,ja,773,8.533,3
Billions,84,en,770,7.729,2
