Name of movie,Year of relase,Watchtime,Movie Rating,Votes,Gross collection,Director,Star,Rating_Category
The Theory of Everything,2014,123,7.7,"4,72,069",$35.89M,James Marsh,"['Eddie Redmayne', 'Felicity Jones', 'Tom Prior', 'Sophie Perry']",Low
This Is England,2006,101,7.7,"1,26,759",$0.33M,Shane Meadows,"['Thomas Turgoose', 'Stephen Graham', 'Jo Hartley', 'Andrew Shim']",Low
Belle de jour,1967,100,7.7,"47,632",$0.03M,Luis Buñuel,"['Catherine Deneuve', 'Jean Sorel', 'Michel Piccoli', 'Geneviève Page']",Low
A Man for All Seasons,1966,120,7.7,"36,445",$28.35M,Fred Zinnemann,"['Paul Scofield', 'Wendy Hiller', 'Robert Shaw', 'Leo McKern']",Low
Flipped,I 2010,90,7.7,"95,152",$1.75M,Rob Reiner,"['Madeline Carroll', 'Callan McAuliffe', 'Rebecca De Mornay', 'Anthony Edwards']",Low
Malcolm X,1992,202,7.7,"99,852",$48.17M,Spike Lee,"['Denzel Washington', 'Angela Bassett', 'Delroy Lindo', 'Spike Lee']",Low
Being John Malkovich,1999,113,7.7,"3,48,100",$22.86M,Spike Jonze,"['John Cusack', 'Cameron Diaz', 'Catherine Keener', 'John Malkovich']",Low
The Trial of the Chicago 7,2020,129,7.7,"1,88,438",*****,Aaron Sorkin,"['Eddie Redmayne', 'Alex Sharp', 'Sacha Baron Cohen', 'Jeremy Strong']",Low
Star Trek Into Darkness,2013,132,7.7,"4,93,108",$228.78M,J.J. Abrams,"['Chris Pine', 'Zachary Quinto', 'Zoe Saldana', 'Benedict Cumberbatch']",Low
Cape Fear,1962,106,7.7,"30,990",*****,J. Lee Thompson,"['Gregory Peck', 'Robert Mitchum', 'Polly Bergen', 'Lori Martin']",Low
En man som heter Ove,2015,116,7.7,"66,182",$3.48M,Hannes Holm,"['Rolf Lassgård', 'Bahar Pars', 'Filip Berg', 'Ida Engvoll']",Low
Sorcerer,1977,121,7.7,"25,746",$12.00M,William Friedkin,"['Roy Scheider', 'Bruno Cremer', 'Francisco Rabal', 'Amidou']",Low
Serpico,1973,130,7.7,"1,31,249",$29.80M,Sidney Lumet,"['Al Pacino', 'John Randolph', 'Jack Kehoe', 'Biff McGuire']",Low
Adaptation.,2002,115,7.7,"1,99,540",$22.25M,Spike Jonze,"['Nicolas Cage', 'Meryl Streep', 'Chris Cooper', 'Tilda Swinton']",Low
Clerks,1994,92,7.7,"2,29,451",$3.15M,Kevin Smith,"[""Brian O'Halloran"", 'Jeff Anderson', 'Marilyn Ghigliotti', 'Lisa Spoonauer']",Low
Detachment,2011,98,7.7,"94,928",$0.07M,Tony Kaye,"['Adrien Brody', 'Christina Hendricks', 'Marcia Gay Harden', 'Lucy Liu']",Low
Paprika,2006,90,7.7,"91,855",$0.88M,Satoshi Kon,"['Megumi Hayashibara', 'Tôru Emori', 'Katsunosuke Hori', 'Tôru Furuya']",Low
Glengarry Glen Ross,1992,100,7.7,"1,13,064",$10.73M,James Foley,"['Al Pacino', 'Jack Lemmon', 'Alec Baldwin', 'Alan Arkin']",Low
Kaze tachinu,2013,126,7.7,"93,673",$5.21M,Hayao Miyazaki,"['Hideaki Anno', 'Hidetoshi Nishijima', 'Miori Takimoto', 'Masahiko Nishimura']",Low
Roma,2018,135,7.7,"1,66,346",*****,Alfonso Cuarón,"['Yalitza Aparicio', 'Marina de Tavira', 'Diego Cortina Autrey', 'Carlos Peralta']",Low
Fantasia,1940,124,7.7,"1,01,594",$76.41M,"Directors:James Algar, Samuel Armstrong, Ford Beebe Jr., Norman Ferguson, David Hand, Jim Handley, T. Hee, Wilfred Jackson, Hamilton Luske, Bill Roberts, Paul Satterfield, Ben Sharpsteen","['Leopold Stokowski', 'Deems Taylor', 'The Philadelphia Orchestra', 'Corey Burton']",Low
Billy Elliot,2000,110,7.7,"1,40,183",$22.00M,Stephen Daldry,"['Jamie Bell', 'Julie Walters', 'Jean Heywood', 'Jamie Draven']",Low
